Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,No,Travel_Rarely,Sales,3,3,Life Sciences,152,3,Male,3,3,Sales Executive,4,Single,"(6500, 19999]",2,No,12,3,1,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,153,3,Female,2,3,Manager,1,Single,"(6500, 19999]",2,No,12,3,4,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,Married,"(6500, 19999]",0,No,14,3,3,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,155,1,Female,3,1,Laboratory Technician,4,Divorced,"(1000, 6500]",5,No,22,4,1,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,158,3,Male,3,4,Manager,4,Married,"(6500, 19999]",1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,Divorced,"(1000, 6500]",1,No,25,4,3,3,10,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,"(1000, 6500]",0,No,13,3,1,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,161,2,Female,3,1,Research Scientist,2,Married,"(1000, 6500]",9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,162,1,Male,3,5,Research Director,3,Single,"(6500, 19999]",7,No,13,3,3,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,163,2,Male,1,2,Sales Executive,3,Married,"(1000, 6500]",4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,164,3,Female,2,1,Research Scientist,2,Married,"(1000, 6500]",1,No,19,3,3,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,165,4,Female,3,3,Healthcare Representative,4,Married,"(6500, 19999]",1,No,12,3,4,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,167,4,Male,3,1,Sales Representative,3,Single,"(1000, 6500]",1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,169,3,Male,3,1,Laboratory Technician,4,Married,"(1000, 6500]",0,No,14,3,3,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,170,3,Female,3,2,Manufacturing Director,1,Married,"(6500, 19999]",1,No,14,3,3,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,171,2,Female,4,1,Research Scientist,3,Single,"(1000, 6500]",4,No,12,3,4,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,174,3,Female,3,3,Sales Executive,4,Single,"(6500, 19999]",4,No,11,3,4,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,175,2,Female,1,2,Sales Executive,3,Married,"(1000, 6500]",3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,176,3,Male,3,3,Sales Executive,3,Divorced,"(6500, 19999]",3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,177,3,Female,3,1,Human Resources,3,Married,"(1000, 6500]",1,No,23,4,4,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,178,2,Male,3,2,Manufacturing Director,2,Divorced,"(1000, 6500]",6,No,20,4,4,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,179,1,Male,1,3,Manufacturing Director,4,Single,"(6500, 19999]",2,No,15,3,4,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,Married,"(1000, 6500]",4,No,14,3,3,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,Married,"(6500, 19999]",2,No,18,3,4,0,6,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,184,3,Male,3,2,Human Resources,4,Married,"(1000, 6500]",0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,190,1,Female,3,1,Laboratory Technician,1,Single,"(1000, 6500]",7,No,22,4,1,0,10,2,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,192,3,Male,3,1,Research Scientist,4,Single,"(1000, 6500]",5,No,13,3,2,0,9,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,193,4,Female,3,2,Research Scientist,3,Single,"(1000, 6500]",3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,194,1,Female,3,1,Research Scientist,3,Single,"(1000, 6500]",1,No,14,3,3,0,5,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,195,4,Male,1,2,Sales Executive,4,Divorced,"(1000, 6500]",0,No,17,3,4,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,197,4,Female,3,1,Research Scientist,1,Divorced,"(1000, 6500]",5,No,14,3,4,1,8,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,198,2,Male,2,1,Laboratory Technician,4,Single,"(1000, 6500]",0,No,13,3,4,0,6,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,199,4,Male,2,4,Manager,1,Divorced,"(6500, 19999]",4,No,13,3,2,1,21,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,200,3,Male,3,1,Laboratory Technician,1,Married,"(1000, 6500]",2,No,21,4,4,1,7,2,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,201,2,Female,3,1,Laboratory Technician,2,Single,"(1000, 6500]",1,No,14,3,4,0,1,3,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,202,2,Female,3,2,Research Scientist,2,Divorced,"(1000, 6500]",1,No,11,3,1,1,20,2,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,204,3,Male,3,3,Sales Executive,2,Married,"(6500, 19999]",1,No,13,3,1,2,10,3,3,10,8,0,6
